시설명,자치구,연령구분,Longitude,Latitude
아이랑(신사점),관악구,영유아,126.91641,37.48246
목동깨비 공동육아방,양천구,영유아,126.86372,37.54827
미아 공동육아방,강북구,영유아,127.02595,37.63242
망우자람 공동육아방,중랑구,영유아,127.0981661672409,37.59233782678768
맘스하트카페 흑석동2호점,동작구,영유아,126.96061,37.50512
맘스하트카페 상도2동점,동작구,영유아,126.9460782754952,37.501415976182
대림3동 맘든든센터(공동육아방) ,영등포구,영유아,126.89595,37.5017
문래동 맘든든센터(공동육아방) ,영등포구,영유아,126.88947,37.51727
10호점 중계4동 도담도담나눔터(공동육아방),노원구,영유아,127.07361,37.65859
9호점 하계1동 도담도담나눔터(공동육아방),노원구,영유아,127.07242,37.6361
어울림공동육아방,종로구,영유아,126.96869,37.58145
누리뜰공동육아방,중구,영유아,127.00941,37.56066
꿈자람공동육아방 용신점,동대문구,영유아,127.02992,37.57232
꿈자람공동육아방 답십리2호점,동대문구,영유아,127.05509,37.57491
성동구 도담누리 공동육아방,성동구,영유아,127.03758,37.56415
광진구 중곡동 공동육아방(기린방),광진구,영유아,127.08446,37.56506
아이?맘 강동(암사시장점),강동구,영유아,127.1290123200706,37.55141676309986
아이?맘 강동(길동점),강동구,영유아,127.14055,37.53837
아이?맘 강동(고덕점),강동구,영유아,127.16454,37.55712
아이?맘 강동(천호공원점),강동구,영유아,127.12545,37.54346
아이?맘 강동(강일점),강동구,영유아,127.17236,37.55678
아이?맘 강동(성내점),강동구,영유아,127.12248,37.52917
8호점 상계9동 도담도담나눔터(공동육아방),노원구,영유아,127.06530342578893,37.66587141808893
7호점 하계2동 도담도담나눔터(공동육아방),노원구,영유아,127.06505344177248,37.63626845229139
맘스하트카페 상도4동점,동작구,영유아,126.93732,37.49762
맘스하트카페 상도1동점,동작구,영유아,126.95348,37.50424
맘스하트카페 신대방1동점,동작구,영유아,126.9084,37.48881
맘스하트카페 사당1동점,동작구,영유아,126.97984,37.47704
맘스하트카페 대방동점,동작구,영유아,126.92299,37.50462
6호점 상계6.7동 도담도담나눔터(공동육아방),노원구,영유아,127.0596,37.64097
송파동 공동육아방,송파구,영유아,127.11305,37.50859
송파여성문화회관공동육아방,송파구,영유아,127.10974,37.50598
내곡 육아지원센터 공동육아방,서초구,영유아,127.05831,37.44936
서리풀문화광장 함께 키움센터 공동육아방,서초구,영유아,127.00484,37.49012
공동육아방(보라매점),관악구,영유아,126.93546,37.48673
너나들이 공동육아방,금천구,영유아,126.8956,37.46896
강서 활짝 공동육아방,강서구,영유아,126.82624,37.54949
방아다리 공동육아방,양천구,영유아,126.82719,37.53859
쓰담쓰담 공동육아방,도봉구,영유아,127.03541,37.66418
서빙고동 열린육아방,용산구,영유아,126.99465,37.52047
광진구 능동 공동육아방(토끼방),광진구,영유아,127.08723,37.55231
꿈자람공동육아방 제기점,동대문구,영유아,127.03467589521068,37.5837276538076
세곡공동육아방,강남구,영유아,127.10694,37.46905
꿈자람공동육아방 장안1호점,동대문구,영유아,127.06859,37.57234
꿈자람공동육아방 제기2호점,동대문구,영유아,127.03516,37.58629
꿈자람공동육아방 장안2호점,동대문구,영유아,127.06762,37.57379
하늘열린육아방,종로구,영유아,126.9978,37.58344
아이신나열린육아방,중랑구,영유아,127.08193,37.5761
5호점 상계1동 도담도담나눔터(공동육아방),노원구,영유아,127.05495,37.67991
4호점 중계본동 도담도담나눔터(공동육아방),노원구,영유아,127.08367,37.65046
3호점 월계3동 도담도담나눔터(공동육아방),노원구,영유아,127.06978,37.61826
2호점 공릉2동 도담도담나눔터(공동육아방),노원구,영유아,127.08812,37.62607
성산1동 모아뜰 공동육아방 ,마포구,영유아,126.90791,37.56337
홍제 행복열린육아방,서대문구,영유아,126.94693445221088,37.59694364732762
명일2동 마을커뮤니티센터,강동구,영유아,127.15401,37.54903
위례 열린육아방,송파구,영유아,127.13483374188428,37.47616294091133
삼성열린육아방,강남구,영유아,127.05554,37.51178
아이랑(난향점),관악구,영유아,126.91814,37.46397
맘스하트카페 흑석동점,동작구,영유아,126.96659,37.50583
맘스하트카페 사당3동점,동작구,영유아,126.96853,37.4928
논현열린육아방,강남구,영유아,127.0372,37.51728
맘스하트카페 신대방2동점,동작구,영유아,126.9244,37.4984
당산1동 맘든든센터(공동육아방) ,영등포구,영유아,126.89482,37.52839
당산2동 맘든든센터(공동육아방) ,영등포구,영유아,126.89735,37.53103
영등포동 맘든든센터(공동육아방) ,영등포구,영유아,126.90365,37.52537
신길4동 맘든든센터(공동육아방) ,영등포구,영유아,126.91163,37.50717
해우리열린육아방,양천구,영유아,126.86549,37.53897
해누리열린육아방,양천구,영유아,126.86391,37.51594
희망열린육아방,양천구,영유아,126.85428,37.51856
해맞이열린육아방,양천구,영유아,126.83563,37.51901
은평 열린육아방,은평구,영유아,126.93662,37.6116
서대문구육아종합지원센터 열린육아방,서대문구,영유아,126.92000124762656,37.57307176094129
햇살아래열린육아방,중랑구,영유아,127.11283,37.61475
1호점 상계8동 도담도담나눔터(공동육아방),노원구,영유아,127.05469,37.66595
장위행복누림부모지원센터,성북구,영유아,127.04584528255997,37.615906003765375
상봉키움열린육아방,중랑구,영유아,127.09212,37.6022
중화열린육아방,중랑구,영유아,127.07492,37.59504
아이사랑열린육아방,중랑구,영유아,127.09424,37.5971
아이틔움열린육아방,중랑구,영유아,127.10151,37.60058
장미향기열린육아방,중랑구,영유아,127.07356,37.60724
면목열린육아방,중랑구,영유아,127.07949,37.58321
도란도란열린육아방,중랑구,영유아,127.08536977276891,37.59830210093693
먹골꼬마열린육아방,중랑구,영유아,127.08361,37.61757
꿈자람공동육아방 답십리점,동대문구,영유아,127.04795,37.57206
꿈자람공동육아방 배봉산점,동대문구,영유아,127.06279,37.5784
키즈앤맘 열린육아방,중구,영유아,127.01484,37.56129
구로19호점 우리동네키움센터(항동융합형),구로구,초등학생,126.82275800323671,37.47905835571736
은평12호점 우리동네키움센터,은평구,초등학생,126.93477,37.60276
송파18호점 우리동네키움센터(위례동2호점 송파키움센터),송파구,초등학생,127.15109,37.4882
은평11호점 우리동네키움센터,은평구,초등학생,126.92267,37.61524
