주소,Longitude,Latitude,자치구
서울특별시 강서구  마곡서로 33 (마곡동),126.822611032,37.557822,강서구
서울특별시 강서구 강서로 216-23,126.837553992,37.5457337666,강서구
서울특별시 강서구 강서로15길 40 (화곡동),126.843815,37.5323019,강서구
서울특별시 강서구 강서로17길 130 (화곡동),126.838533,37.532117,강서구
서울특별시 강서구 강서로31길 48 (화곡동),126.839074,37.5401017,강서구
서울특별시 강서구 강서로45길 113 (내발산동),126.831027,37.5503201,강서구
서울특별시 강서구 강서로46길 23 (내발산동),126.8377005,37.551248,강서구
서울특별시 강서구 강서로47길 126,126.8291829,37.5536597,강서구
서울특별시 강서구 강서로56가길 55 (등촌동),126.840249,37.562025,강서구
서울특별시 강서구 강서로56나길 140 (등촌동),126.8446617,37.5648029,강서구
서울특별시 강서구 강서로56나길 34 (등촌동),126.8425361,37.5606951,강서구
서울특별시 강서구 곰달래로25길 4 (화곡동),126.849217,37.530958,강서구
서울특별시 강서구 곰달래로31가길 27 (화곡동),126.8524559,37.5327032,강서구
서울특별시 강서구 곰달래로47길 88 (화곡동),126.855313,37.5351277,강서구
서울특별시 강서구 곰달래로49길 10 (화곡동),126.85806,37.532147,강서구
서울특별시 강서구 곰달래로53길 30-20 (화곡동),126.860173,37.533599,강서구
서울특별시 강서구 곰달래로57길 39 (화곡동),126.861588,37.533979,강서구
서울특별시 강서구 공항대로 491 (등촌동),126.8621938,37.553469,강서구
서울특별시 강서구 공항대로36길 74 (내발산동),126.83610183,37.5557076033,강서구
서울특별시 강서구 공항대로39길 100 (등촌동 대림아파트),126.8465439,37.562539,강서구
서울특별시 강서구 공항대로3길 18 (공항동),126.8110312,37.5627589,강서구
서울특별시 강서구 공항대로58가길 39 (등촌동),126.8610512,37.550429,강서구
서울특별시 강서구 금낭화로 222 (방화동),126.8108471,37.5803891,강서구
서울특별시 강서구 금낭화로11길 48 (방화동),126.810033,37.569417,강서구
서울특별시 강서구 금낭화로13길 47-9 (방화동),126.808358,37.571228,강서구
서울특별시 강서구 까치산로 116 (화곡동),126.8500391,37.5481774,강서구
서울특별시 강서구 까치산로10길 70 (화곡동),126.847465,37.5403602,강서구
서울특별시 강서구 까치산로22길 38 (화곡동),126.85254,37.5481125,강서구
서울특별시 강서구 까치산로2길 43 (화곡동),126.843663,37.539273,강서구
서울특별시 강서구 남부순환로11가길 89 (공항동),126.81324,37.5576234,강서구
서울특별시 강서구 남부순환로7길 39 (공항동),126.809662,37.558943,강서구
서울특별시 강서구 등촌로13자길 42-14 (화곡동),126.8556963,37.5390734,강서구
서울특별시 강서구 등촌로35길 12 (등촌동),126.8616338,37.5420258,강서구
서울특별시 강서구 등촌로39길 71 (등촌동),126.8577618,37.547477,강서구
서울특별시 강서구 마곡서1로 68 (마곡동),126.821544,37.5632004,강서구
서울특별시 강서구 방화대로34길 2 (방화동),126.8174657,37.5682828,강서구
서울특별시 강서구 방화대로47길 43 (방화동),126.814673,37.575537,강서구
서울특별시 강서구 방화대로50길 22 (방화동),126.818936,37.5769308,강서구
서울특별시 강서구 방화대로5다길 22-12 (공항동),126.8146107,37.5555119,강서구
서울특별시 강서구 수명로1길 84 (내발산동),126.823844,37.5527743821,강서구
서울특별시 강서구 양천로 11 (방화동),126.8046641,37.5736852,강서구
서울특별시 강서구 양천로 329 (가양동),126.8395913,37.5701684,강서구
서울특별시 강서구 양천로 646-28 (염창동),126.8677461,37.5529744,강서구
서울특별시 강서구 양천로17길 4-55 (방화동),126.8135129,37.573989,강서구
서울특별시 강서구 양천로30길 4 (마곡동),126.822935,37.5704783,강서구
서울특별시 강서구 양천로69길 49 (염창동),126.8712574,37.5548065,강서구
서울특별시 강서구 양천로6길 92 (방화동),126.807498848,37.5687036382,강서구
서울특별시 강서구 양천로73길 17 (염창동),126.872373,37.5521222,강서구
서울특별시 강서구 양천로75길 44 (염창동),126.875539,37.551473,강서구
서울특별시 강서구 우장산로 45 (내발산동),126.8421907,37.554404,강서구
서울특별시 강서구 우현로 8,126.844554,37.547055,강서구
서울특별시 강서구 월정로 176 (화곡동),126.8360595,37.5347268,강서구
서울특별시 강서구 초록마을로 28 (화곡동),126.8459269,37.543208,강서구
서울특별시 강서구 허준로 109 (가양동),126.8521896,37.566675,강서구
서울특별시 강서구 허준로 186 (가양동),126.8586437,37.5617187,강서구
서울특별시 강서구 허준로 221-22 (가양동),126.8644193,37.561171,강서구
서울특별시 강서구 허준로 47 (가양동 가양2단지아파트),126.8474442,37.5703714,강서구
서울특별시 강서구 화곡로 263 (화곡동),126.846004,37.5492011,강서구
서울특별시 강서구 화곡로13길 107 (화곡동 화곡푸르지오),126.8315655,37.5443631,강서구
서울특별시 강서구 화곡로13길 66 (화곡동),126.8330272,37.5427125,강서구
서울특별시 강서구 화곡로52길 14 (화곡동),126.849063,37.5500087,강서구
서울특별시 강서구 화곡로58길 86 (화곡동),126.8549196,37.551822,강서구
서울특별시 강서구 화곡로63가길 26 (등촌동),126.847951,37.559692,강서구
서울특별시 강서구 화곡로65길 124 (등촌동),126.8480367,37.561389,강서구
서울특별시 강서구 화곡로65길 90 (등촌동),126.8500834,37.5603228,강서구
서울특별시 강서구 화곡로66길 118 (등촌동),126.859332,37.555424,강서구
서울특별시 강서구 화곡로69길 9 (등촌동),126.853766,37.5608016256,강서구
서울특별시 강서구 화곡본동 까치산로4길 101-5,126.847243,37.538834,강서구
서울특별시 관악구 관악로30길 12,126.959438,37.485089,관악구
서울시 노원구 상계10동 695,127.0575035,37.6597665,노원구
서울특별시 관악구 관악로40길 304,126.959278,37.492162,관악구
서울특별시 관악구 관악로5길 61,126.9512177,37.4756972,관악구
서울특별시 관악구 광신길 113,126.925415,37.464018,관악구
서울특별시 관악구 광신길 177,126.9274239,37.467048,관악구
서울특별시 관악구 구암길 1,126.9468782,37.4894968,관악구
서울특별시 관악구 구암길 46,126.948211,37.489766,관악구
서울특별시 관악구 구암길 46,126.948219,37.489742,관악구
서울특별시 관악구 낙성대로 23,126.959865624,37.4767532754,관악구
서울특별시 관악구 낙성대역14길 6,126.964244,37.4738722,관악구
서울특별시 관악구 난곡로 32길 12,126.920157,37.472093,관악구
서울특별시 관악구 난곡로 42,126.9206196,37.4605336,관악구
서울특별시 관악구 난곡로35길 102,126.9166531,37.469235,관악구
서울특별시 관악구 난곡로35길 102,126.9166531,37.4692357,관악구
서울특별시 관악구 난곡로45길 5,126.9153179,37.4762101,관악구
서울특별시 관악구 난우길 40,126.9178433,37.4769379,관악구
서울특별시 관악구 난향3길 31,126.916719,37.461733,관악구
