"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~4세","2022년10월_계_5~9세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~4세","2022년10월_남_5~9세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~4세","2022년10월_여_5~9세"
"서울특별시  (1100000000)","9,443,722","551,549","230,113","321,436","4,578,459","283,233","118,851","164,382","4,865,263","268,316","111,262","157,054"
"서울특별시 종로구 (1111000000)","141,861","6,515","2,548","3,967","68,601","3,302","1,298","2,004","73,260","3,213","1,250","1,963"
"서울특별시 중구 (1114000000)","120,648","5,990","2,796","3,194","58,643","3,059","1,428","1,631","62,005","2,931","1,368","1,563"
"서울특별시 용산구 (1117000000)","219,102","12,104","5,536","6,568","105,303","6,176","2,859","3,317","113,799","5,928","2,677","3,251"
"서울특별시 성동구 (1120000000)","281,694","18,357","8,717","9,640","137,075","9,420","4,526","4,894","144,619","8,937","4,191","4,746"
"서울특별시 광진구 (1121500000)","337,900","16,666","6,865","9,801","162,844","8,575","3,519","5,056","175,056","8,091","3,346","4,745"
"서울특별시 동대문구 (1123000000)","337,273","18,848","8,261","10,587","166,113","9,595","4,152","5,443","171,160","9,253","4,109","5,144"
"서울특별시 중랑구 (1126000000)","385,976","20,537","9,191","11,346","189,869","10,522","4,691","5,831","196,107","10,015","4,500","5,515"
"서울특별시 성북구 (1129000000)","431,581","26,261","10,801","15,460","207,584","13,423","5,595","7,828","223,997","12,838","5,206","7,632"
"서울특별시 강북구 (1130500000)","294,429","12,954","5,144","7,810","143,000","6,643","2,646","3,997","151,429","6,311","2,498","3,813"
"서울특별시 도봉구 (1132000000)","312,427","15,753","6,287","9,466","151,811","8,209","3,327","4,882","160,616","7,544","2,960","4,584"
"서울특별시 노원구 (1135000000)","505,058","28,693","11,408","17,285","242,826","14,758","5,907","8,851","262,232","13,935","5,501","8,434"
"서울특별시 은평구 (1138000000)","468,988","26,190","10,963","15,227","223,764","13,477","5,663","7,814","245,224","12,713","5,300","7,413"
"서울특별시 서대문구 (1141000000)","305,113","18,286","7,758","10,528","145,287","9,278","4,002","5,276","159,826","9,008","3,756","5,252"
"서울특별시 마포구 (1144000000)","364,698","22,010","9,478","12,532","171,062","11,270","4,916","6,354","193,636","10,740","4,562","6,178"
"서울특별시 양천구 (1147000000)","441,749","27,416","9,875","17,541","216,133","14,115","5,141","8,974","225,616","13,301","4,734","8,567"
"서울특별시 강서구 (1150000000)","570,011","34,157","14,570","19,587","273,644","17,366","7,415","9,951","296,367","16,791","7,155","9,636"
"서울특별시 구로구 (1153000000)","394,212","24,460","10,958","13,502","193,834","12,575","5,717","6,858","200,378","11,885","5,241","6,644"
"서울특별시 금천구 (1154500000)","230,156","10,877","4,949","5,928","116,062","5,606","2,578","3,028","114,094","5,271","2,371","2,900"
"서울특별시 영등포구 (1156000000)","375,849","23,746","11,185","12,561","184,845","12,149","5,720","6,429","191,004","11,597","5,465","6,132"
"서울특별시 동작구 (1159000000)","382,747","21,742","9,179","12,563","185,098","11,086","4,727","6,359","197,649","10,656","4,452","6,204"
"서울특별시 관악구 (1162000000)","487,201","18,454","7,859","10,595","244,980","9,577","4,111","5,466","242,221","8,877","3,748","5,129"
"서울특별시 서초구 (1165000000)","404,902","29,377","10,980","18,397","193,465","15,114","5,724","9,390","211,437","14,263","5,256","9,007"
"서울특별시 강남구 (1168000000)","529,946","32,702","11,618","21,084","253,570","16,833","6,023","10,810","276,376","15,869","5,595","10,274"
"서울특별시 송파구 (1171000000)","659,788","46,608","19,209","27,399","317,743","24,052","9,937","14,115","342,045","22,556","9,272","13,284"
"서울특별시 강동구 (1174000000)","460,413","32,846","13,978","18,868","225,303","17,053","7,229","9,824","235,110","15,793","6,749","9,044"
