"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","사이트유무","사이트URL","사용료무료여부","사용료","평일시작시간","평일종료시간","사용시간구분코드","사용시간구분","시작시간1","종료시간1","시작시간2","종료시간2","시작시간3","종료시간3","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"GA220901","아이랑(신사점)","1002","공동육아방","11620","관악구","1001","영유아","126.91641","37.48246","08761","서울특별시 관악구 남부순환로 1491","관악가족행복센터 2층 (신림동)","N","","Y","0","1000","1700","N","시간제운영","1000","1130","1300","1430","1530","1700","Y","1000","1700","2022-09-19 14:37:23.0","2022-10-18 16:13:33.0"
"YC220901","목동깨비 공동육아방","1002","공동육아방","11470","양천구","1001","영유아","126.86372","37.54827","07950","서울특별시 양천구 등촌로 208","목동깨비시장 고객주차장＆공유센터 3층 (목동)","N","","N","1000","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2022-09-19 14:30:02.0",""
"GB220901","미아 공동육아방","1002","공동육아방","11305","강북구","1001","영유아","127.02595","37.63242","01132","서울특별시 강북구 덕릉로30길 49","1층 (미아동 청운美家)","N","","Y","","0930","1730","N","시간제운영","0930","1130","1300","1500","1530","1730","Y","0930","1730","2022-09-19 14:15:15.0",""
"JR220901","망우자람 공동육아방","1002","공동육아방","11260","중랑구","1001","영유아","127.0981661672409","37.59233782678768","02173","서울특별시 중랑구 용마산로 461","2층 (망우동)","N","","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1730","2022-09-19 14:03:28.0","2022-10-18 16:23:07.0"
"DJ220902","맘스하트카페 흑석동2호점","1002","공동육아방","11590","동작구","1001","영유아","126.96061","37.50512","06973","서울특별시 동작구 서달로 129","까망돌도서관 1층 (흑석동)","N","","N","2000","1000","1730","N","시간제운영","1000","1130","1330","1500","1600","1730","Y","1000","1730","2022-09-19 13:48:12.0","2022-10-18 16:18:25.0"
"DJ220901","맘스하트카페 상도2동점","1002","공동육아방","11590","동작구","1001","영유아","126.9460782754952","37.501415976182","07032","서울특별시 동작구 양녕로 220","상가 B1층 (상도동 상도역 롯데캐슬 파크엘)","N","","N","1000","1000","1730","N","시간제운영","1000","1130","1330","1500","1600","1730","Y","1000","1730","2022-09-19 13:41:52.0","2022-10-18 16:14:47.0"
"YF220902","대림3동 맘든든센터(공동육아방) ","1002","공동육아방","11560","영등포구","1001","영유아","126.89595","37.5017","07377","서울특별시 영등포구 도신로4길 20","1층 (대림동)","Y","https://www.ydpccic.or.kr/","Y","0","0930","1730","N","시간제운영","0930","1200","1300","1730","","","Y","0930","1600","2022-09-07 13:52:41.0","2022-09-07 14:01:21.0"
"YF220901","문래동 맘든든센터(공동육아방) ","1002","공동육아방","11560","영등포구","1001","영유아","126.88947","37.51727","07295","서울특별시 영등포구 문래로20길 60","602호 (문래동3가)","Y","https://www.ydpccic.or.kr/","Y","0","0930","1730","N","시간제운영","0930","1200","1300","1730","","","Y","0930","1600","2022-09-07 13:49:13.0","2022-09-07 14:06:57.0"
"NW220902","10호점 중계4동 도담도담나눔터(공동육아방)","1002","공동육아방","11350","노원구","1001","영유아","127.07361","37.65859","01699","서울특별시 노원구 한글비석로 371","중계온마을센터 나동 1층 (중계동)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080401","Y","","0930","1530","N","시간제운영","0930","1130","1300","1500","1530","1730","N","","","2022-09-02 13:46:33.0",""
"NW220901","9호점 하계1동 도담도담나눔터(공동육아방)","1002","공동육아방","11350","노원구","1001","영유아","127.07242","37.6361","01809","서울특별시 노원구 공릉로62길 18","하계어울림센터 1층 (하계동)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080401","Y","","0930","1730","N","시간제운영","0930","1130","1300","1500","1530","1730","N","","","2022-09-02 13:41:37.0",""
"JN220901","어울림공동육아방","1002","공동육아방","11110","종로구","1001","영유아","126.96869","37.58145","03035","서울특별시 종로구 자하문로17길 36","옥인육아어울림센터 (옥인동)","Y","https://www.jnccic.or.kr","Y","","1000","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","Y","1000","1700","2022-09-01 17:14:11.0",""
"JG220901","누리뜰공동육아방","1002","공동육아방","11140","중구","1001","영유아","127.00941","37.56066","04606","서울특별시 중구 장충단로6길 57-6"," (장충동1가)","Y","https://jgkids.or.kr/","Y","","0900","1800","N","시간제운영","0930","1130","1300","1500","1530","1730","Y","0900","1800","2022-09-01 16:51:03.0",""
"DM220902","꿈자람공동육아방 용신점","1002","공동육아방","11230","동대문구","1001","영유아","127.02992","37.57232","02587","서울특별시 동대문구 무학로 89","동대문구민행복센터 2층 (용두동)","Y","https://www.ddmccic.or.kr/new/main/","Y","","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2022-09-01 16:19:27.0",""
"DM220901","꿈자람공동육아방 답십리2호점","1002","공동육아방","11230","동대문구","1001","영유아","127.05509","37.57491","02541","서울특별시 동대문구 답십리로45길 47","3층 (답십리동)","Y","https://www.ddmccic.or.kr/new/main/","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2022-09-01 15:59:00.0","2022-09-01 16:10:56.0"
"SD220801","성동구 도담누리 공동육아방","1002","공동육아방","11200","성동구","1001","영유아","127.03758","37.56415","04750","서울특별시 성동구 고산자로16길 10-53","1층 도담누리공동육아방 (행당동)","Y","https://ccic.sd.go.kr/main/main.php?categoryid=06&menuid=08&groupid=00","Y","","1000","1700","N","시간제운영","1000","1130","1330","1500","1530","1700","Y","1000","1700","2022-08-25 16:44:00.0",""
"GJ220101","광진구 중곡동 공동육아방(기린방)","1002","공동육아방","11215","광진구","1001","영유아","127.08446","37.56506","04933","서울특별시 광진구 능동로 400","보건복지행정타운 별관 3층 (중곡동)","Y","https://www.gjcare.go.kr","Y","0","0930","1730","N","시간제운영","0930","1130","1300","1500","1530","1730","N","","","2022-01-03 16:13:16.0","2022-04-29 13:34:01.0"
"GD211101","아이?맘 강동(암사시장점)","1002","공동육아방","11740","강동구","1001","영유아","127.12901232007061","37.55141676309986","05263","서울특별시 강동구 올림픽로98길 15","LS지산빌딩 3층 (암사동)","Y","https://www.gdkids.or.kr:8443/imom/08/main.do","Y","0","0900","1800","N","시간제운영","1000","1130","1400","1510","1600","1730","Y","0900","1800","2021-11-05 14:00:10.0","2021-12-23 09:15:15.0"
"GD210807","아이?맘 강동(길동점)","1002","공동육아방","11740","강동구","1001","영유아","127.14055","37.53837","05351","서울특별시 강동구 양재대로 1486","6층 (길동)","Y","https://www.gdkids.or.kr:8443/imom/06/main.do","Y","0","0900","1800","N","시간제운영","1000","1130","1400","1510","1600","1730","Y","0900","1800","2021-08-30 17:21:52.0","2021-11-09 10:56:38.0"
"GD210806","아이?맘 강동(고덕점)","1002","공동육아방","11740","강동구","1001","영유아","127.16454","37.55712","05224","서울특별시 강동구 고덕로 353","고덕그라시움일반상가 2층","Y","https://www.gdkids.or.kr:8443/imom/07/main.do","Y","0","0900","1800","N","시간제운영","1000","1130","1400","1510","1600","1730","Y","0900","1800","2021-08-30 17:20:15.0","2021-11-09 10:55:09.0"
"GD210805","아이?맘 강동(천호공원점)","1002","공동육아방","11740","강동구","1001","영유아","127.12545","37.54346","05327","서울특별시 강동구 올림픽로 698","5층 (천호동)","Y","https://www.gdkids.or.kr:8443/imom/04/main.do","Y","0","0900","1800","N","시간제운영","1000","1130","1400","1510","1600","1730","Y","0900","1800","2021-08-30 17:04:01.0","2021-11-09 10:57:39.0"
"GD210804","아이?맘 강동(강일점)","1002","공동육아방","11740","강동구","1001","영유아","127.17236","37.55678","05285","서울특별시 강동구 상일로12길 95","102동 303호 (상일동 푸르내)","Y","https://www.gdkids.or.kr:8443/imom/03/main.do","Y","0","0900","1800","N","시간제운영","1000","1130","1400","1510","1600","1730","Y","0900","1800","2021-08-30 17:01:08.0","2021-11-09 10:53:55.0"
"GD210803","아이?맘 강동(성내점)","1002","공동육아방","11740","강동구","1001","영유아","127.12248","37.52917","05398","서울특별시 강동구 성내로6길 16","1층 (성내동)","Y","https://www.gdkids.or.kr:8443/imom/01/main.do","Y","0","0900","1800","N","시간제운영","1000","1130","1400","1510","1600","1730","Y","0900","1800","2021-08-30 16:56:51.0","2021-11-09 10:57:05.0"
"NW210803","8호점 상계9동 도담도담나눔터(공동육아방)","1002","공동육아방","11350","노원구","1001","영유아","127.06530342578891","37.66587141808893","01671","서울특별시 노원구 한글비석로 480","204동 103호 (상계동 보람아파트2단지)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080406","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2021-08-30 16:05:09.0","2021-08-30 16:05:51.0"
"NW210802","7호점 하계2동 도담도담나눔터(공동육아방)","1002","공동육아방","11350","노원구","1001","영유아","127.06505344177247","37.63626845229139","01776","서울특별시 노원구 섬밭로 229","9동 110호 (하계동 극동건영벽산아파트)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080406","Y","0","0930","1730","N","시간제운영","0930","1130","1300","1500","1530","1730","N","","","2021-08-30 15:57:11.0","2022-09-02 13:55:51.0"
"DJ210805","맘스하트카페 상도4동점","1002","공동육아방","11590","동작구","1001","영유아","126.93732","37.49762","07046","서울특별시 동작구 성대로16길 21","3층 (상도동)","Y","http://dccic.go.kr/intro.htm","N","2000","0900","1800","Y","종일운영","","","","","","","N","","","2021-08-30 15:49:16.0",""
"DJ210804","맘스하트카페 상도1동점","1002","공동육아방","11590","동작구","1001","영유아","126.95348","37.50424","06969","서울특별시 동작구 상도로47아길 44-1","1층 (상도동)","Y","http://dccic.go.kr/intro.htm","N","2000","0900","1800","Y","종일운영","","","","","","","N","","","2021-08-30 15:46:07.0",""
"DJ210803","맘스하트카페 신대방1동점","1002","공동육아방","11590","동작구","1001","영유아","126.9084","37.48881","07069","서울특별시 동작구 신대방11길 24","1층 (신대방동)","Y","http://dccic.go.kr/intro.htm","N","1000","0900","1800","Y","종일운영","","","","","","","N","","","2021-08-30 15:43:47.0",""
"DJ210802","맘스하트카페 사당1동점","1002","공동육아방","11590","동작구","1001","영유아","126.97984","37.47704","07025","서울특별시 동작구 남부순환로 2081","3층 (사당동)","Y","http://dccic.go.kr/intro.htm","N","2000","0900","1800","Y","종일운영","","","","","","","N","","","2021-08-30 15:39:39.0",""
"DJ210801","맘스하트카페 대방동점","1002","공동육아방","11590","동작구","1001","영유아","126.92299","37.50462","06945","서울특별시 동작구 여의대방로36길 11","4층 (대방동)","Y","http://dccic.go.kr/intro.htm","N","2000","0900","1800","Y","종일운영","","","","","","","Y","0900","1800","2021-08-30 15:34:03.0",""
"NW210801","6호점 상계6.7동 도담도담나눔터(공동육아방)","1002","공동육아방","11350","노원구","1001","영유아","127.0596","37.64097","01772","서울특별시 노원구 덕릉로70길 100","노원아이돌봄센터 1층 (상계동)","Y","https://www.nwscc.or.kr/php/index.php?pno=03080401","Y","0","0930","1730","N","시간제운영","0930","1130","1300","1500","1530","1730","N","","","2021-08-30 15:31:43.0","2022-09-02 13:55:03.0"
"SP210802","송파동 공동육아방","1002","공동육아방","11710","송파구","1001","영유아","127.11305","37.50859","05663","서울특별시 송파구 오금로22길 28"," (송파동)101호","N","","Y","","1000","1700","Y","종일운영","","","","","","","N","","","2021-08-30 15:24:13.0",""
