"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","설립일","사용료무료여부","사용료","전용면적(평)","학기시작시간","학기종료시간","방학시작시간","방학종료시간","재량휴일시작시간","재량휴일종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","월사용료무료여부","월자기부담금","월사용료","일사용료무료여부","일자기부담금","일사용료","상시돌봄정원수","일시돌봄정원수","전용면적(m2)","자치구코드배열","등록일시","수정일시"
"GR221001","구로19호점 우리동네키움센터(항동융합형)","1009","융합형키움센터","11530","구로구","1003","초등학생","126.82275800323673","37.479058355717356","08368","서울특별시 구로구 연동로 191-19","항동복합행정센터 내 2층 (항동)","2022-10-17","","","71","0900","2000","0800","2000","0900","2000","Y","0800","1400","N","","50000","N","","2500","30","6","233.77","","2022-10-05 16:23:24.0","2022-10-22 10:01:53.0"
"EP220902","은평12호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.93477","37.60276","03382","서울특별시 은평구 통일로 627","3층 은평12호점 우리동네키움센터 (녹번동)","2022-09-26","","","55","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","180.9","","2022-09-23 18:10:54.0","2022-09-27 21:04:03.0"
"SP220901","송파18호점 우리동네키움센터(위례동2호점 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.15109","37.4882","05776","서울특별시 송파구 위례북로4길 12","커뮤니티센터 1층 (거여동 위례포레샤인 18단지)","2022-10-04","","","29","0900","1900","0800","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","95","","2022-09-23 17:52:59.0","2022-09-26 15:11:41.0"
"EP220901","은평11호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92267","37.61524","03385","서울특별시 은평구 통일로73길 16","2층 (대조동)","2022-09-14","","","41","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","136","","2022-09-07 12:46:24.0","2022-09-21 15:03:21.0"
"EP220801","은평10호점 우리동네키움센터","1001","우리동네키움센터","11380","은평구","1003","초등학생","126.92042","37.59988","03454","서울특별시 은평구 은평로 114","3층 (응암동)","2022-09-01","","","50","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","165","","2022-08-23 18:42:42.0","2022-10-26 20:14:40.0"
"BP220801","제5호(성북권) 거점형 우리동네키움센터","1008","거점형키움센터","11290","성북구","1003","초등학생","127.03713","37.59222","02796","서울특별시 성북구 회기로3길 17","2~4층 (종암동)","2022-09-13","","","","1300","1900","0800","2000","0900","2000","Y","1000","1800","","0","","N","","2500","0","21","","11290","2022-08-10 11:14:56.0","2022-10-11 16:28:33.0"
"SB220701","성북11호점 우리동네키움센터(삼선동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.01336","37.58574","02870","서울특별시 성북구 보문로29길 101","3층 (삼선동3가)","2022-07-01","","","40","0900","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","30","6","132","","2022-07-11 12:24:32.0","2022-08-26 10:39:49.0"
"SD220601","성동12호점 우리동네키움센터(서울숲아이꿈누리터)","1009","융합형키움센터","11200","성동구","1003","초등학생","127.04081832208547","37.5489235820505","04767","서울특별시 성동구 왕십리로11길 19","서울숲복합문화체육센터 1층 (성수동1가)","2022-06-27","","","69","1300","2000","0800","2000","1300","1400","Y","0900","1300","N","","50000","N","","2500","30","6","227.8","","2022-06-21 17:33:16.0","2022-10-06 19:29:06.0"
"GR220601","구로18호점 우리동네키움센터(구로신도림)","1001","우리동네키움센터","11530","구로구","1003","초등학생","126.88521","37.50959","08207","서울특별시 구로구 경인로65길 44","보미프라자 1층 키움센터 구로18호점 (신도림동)","2022-06-20","","","27","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","90.82","","2022-06-13 14:28:46.0","2022-06-22 21:33:48.0"
"DJ220601","동작13호점 융합형 우리동네키움센터(사당동)","1009","융합형키움센터","11590","동작구","1003","초등학생","126.97422","37.48183","07011","서울특별시 동작구 사당로20나길 25","1층 (사당동)","2022-07-11","","","78","1000","2000","0800","2000","0800","2000","Y","0800","1200","N","","50000","N","","2500","30","6","259.56","","2022-06-08 16:52:54.0","2022-08-24 14:47:37.0"
"SP220601","송파17호점 우리동네키움센터(거여2동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.15057","37.49321","05764","서울특별시 송파구 오금로 551","관리동 1층 (거여동 e편한세상 송파 파크센트럴)","2022-06-21","","","36","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","25","5","120","","2022-06-06 12:15:55.0","2022-07-06 08:44:27.0"
"GA220501","관악3호점 우리동네키움센터","1001","우리동네키움센터","11620","관악구","1003","초등학생","126.95832","37.48667","08733","서울특별시 관악구 청림2길 37","2층 (봉천동)","2022-11-01","","","46","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","25","5","152.73","","2022-05-26 15:59:07.0","2022-11-02 21:15:25.0"
"JR220502","중랑구5호점 망우본동우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.10619908755804","37.608531600302115","02057","서울특별시 중랑구 양원역로 92","지역편의시설 2 (망우동 LH서울양원1단지)","2022-05-25","","","29","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","22","4","97.46","","2022-05-16 11:25:38.0","2022-05-23 14:15:14.0"
"JR220501","중랑구4호점 면목7동우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.08959","37.58003","02250","서울특별시 중랑구 용마산로51길 42","202호 (면목동 유진 뜨레지움)","2022-05-23","","","39","1300","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","28","6","130.45","","2022-05-16 10:18:38.0","2022-09-01 16:19:05.0"
"GS220501","강서5호점 우리동네키움센터(공항동)","1001","우리동네키움센터","11500","강서구","1003","초등학생","126.822029779833","37.55878843505723","07808","서울특별시 강서구 공항대로 124","1105동 상가동 1층 (마곡동 마곡엠밸리11단지)","2022-06-02","","","43","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","143.3","","2022-05-04 14:50:58.0","2022-06-27 11:14:22.0"
"DM220501","동대문구 5호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.06997","37.58718","02511","서울특별시 동대문구 장안벚꽃로 323","2층 (휘경동)","2022-05-16","","","53","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","175","","2022-05-02 16:24:27.0","2022-11-02 18:55:35.0"
"YC220403","양천구 4호점 우리동네키움센터","1001","우리동네키움센터","11470","양천구","1003","초등학생","126.86357264980366","37.54836216082769","07950","서울특별시 양천구 등촌로 208","목동깨비시장 공유센터 3층 (목동)","2022-05-09","","","24","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","80.5","","2022-04-27 09:42:11.0","2022-06-17 16:45:50.0"
"GN220401","강남8호점 우리동네키움센터(자곡다함께키움센터)","1001","우리동네키움센터","11680","강남구","1003","초등학생","127.0945","37.4715","06373","서울특별시 강남구 자곡로 100","자곡문화센터 1층 (자곡동)","2022-04-22","","","23.4","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","15","3","77.4","","2022-04-13 13:19:42.0","2022-04-25 16:38:24.0"
"GB220401","강북3호점 우리동네키움센터(융합형)(삼양동)","1009","융합형키움센터","11305","강북구","1003","초등학생","127.01491087636816","37.62201041567743","01183","서울특별시 강북구 인수봉로6길 39"," (미아동)","2022-09-01","","","65","1300","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","30","6","215.46","","2022-04-06 11:05:24.0","2022-10-07 11:24:33.0"
"YF220302","영등포13호점 우리동네키움센터(신길6동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.91887411737669","37.50140870885531","07392","서울특별시 영등포구 신풍로25길 15-22","34층 (신길동)","2022-04-06","","","37","1000","1900","0900","1900","0900","1900","N","","","","0","","Y","0","","20","4","122.66","","2022-03-23 11:17:26.0","2022-03-29 15:42:35.0"
"GB220301","강북4호점 우리동네키움센터(수유1동)","1001","우리동네키움센터","11305","강북구","1003","초등학생","127.01408","37.63153","01100","서울특별시 강북구 인수봉로 130-5","지상2층 (수유동)","2022-05-09","","","30.40","1100","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","100.33","","2022-03-22 09:51:16.0","2022-10-13 17:02:41.0"
"GD220301","강동7호점 우리동네키움센터(천호2동)","1001","우리동네키움센터","11740","강동구","1003","초등학생","127.12876","37.54521","05322","서울특별시 강동구 천중로 61","2층 (천호동)","2022-04-26","","","25","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","17","3","84","","2022-03-18 10:57:00.0","2022-08-16 10:00:23.0"
"GN220302","강남7호점 우리동네키움센터(누리봄다함께키움센터)","1009","융합형키움센터","11680","강남구","1003","초등학생","127.07416","37.49109","06346","서울특별시 강남구 영동대로 22","일원스포츠문화센터 1층 (일원동 디에이치 자이 개포)","2022-03-21","","","207.8","1100","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","40","8","685.79","","2022-03-08 18:41:19.0","2022-11-02 13:20:50.0"
"GN220301","강남6호점 우리동네키움센터(논현다함께키움센터)","1001","우리동네키움센터","11680","강남구","1003","초등학생","127.0418","37.51158","06103","서울특별시 강남구 봉은사로49길 26","B동 B101호 (논현동)","2022-03-18","","","46.7","1000","1900","0900","1800","0900","1900","N","","","N","","50000","N","","2500","20","4","154.42","","2022-03-07 11:45:44.0","2022-09-05 17:06:03.0"
"DJ220201","동작12호점 우리동네키움센터(상도2동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.9456705874904","37.501265600669015","07032","서울특별시 동작구 양녕로 220"," (상도동 상도역 롯데캐슬 파크엘) 상가2층","2022-03-16","","","25","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","82.88","","2022-02-25 13:18:41.0","2022-11-02 13:35:18.0"
"SM220201","서대문구7호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.9194","37.57411","03710","서울특별시 서대문구 모래내로15길 56","2층 서대문구 7호점 우리동네키움센터 (남가좌동)","2022-03-02","","","42","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","23","5","138.94","","2022-02-21 16:30:49.0","2022-10-13 13:11:36.0"
"GB220201","강북5호점 우리동네키움센터(송중동)","1001","우리동네키움센터","11305","강북구","1003","초등학생","127.03024","37.62302","01159","서울특별시 강북구 도봉로34길 43-13","지상1~2층 (미아동)","2022-03-02","","","48","1100","1900","0900","1900","0900","1800","N","","","N","","50000","N","","2500","20","4","161","","2022-02-07 08:53:35.0","2022-06-24 14:54:55.0"
"SM220102","서대문구6호점 우리동네키움센터","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.91877","37.5817","03671","서울특별시 서대문구 증가로20나길 2","2층 (북가좌동)","2022-02-03","","","47","1000","1900","0900","1800","1000","1900","N","","","N","","50000","N","","2500","25","5","100","","2022-01-21 14:03:51.0","2022-02-07 15:16:48.0"
"SM220101","서대문구5호점 우리동네키움센터(천연동 친구랑)","1001","우리동네키움센터","11410","서대문구","1003","초등학생","126.96108604981781","37.56956827084229","03744","서울특별시 서대문구 독립문로 28","1-2층 (옥천동)","2022-01-24","","","69.8","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","31","6","230.64","","2022-01-13 17:27:25.0","2022-08-23 14:41:50.0"
"MP220101","마포구7호점 우리동네키움센터(서강동)","1001","우리동네키움센터","11440","마포구","1003","초등학생","126.92769","37.54586","04077","서울특별시 마포구 토정로 149","3층 (상수동)","2022-02-18","","","37","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","125.25","","2022-01-12 14:07:15.0","2022-07-26 16:26:46.0"
"DB220102","도봉구 6호점 우리동네키움센터","1001","우리동네키움센터","11320","도봉구","1003","초등학생","127.03917","37.64257","01464","서울특별시 도봉구 덕릉로59아길 42","4층 (창동)","2022-02-10","","","30.8","1100","1900","0900","1800","0900","1800","N","","","Y","0","","","0","","20","4","102","","2022-01-10 16:47:56.0","2022-05-10 15:57:04.0"
"DB220101","도봉구 5호점 융합형 우리동네키움센터(마을연계)","1009","융합형키움센터","11320","도봉구","1003","초등학생","127.03144","37.65078","01442","서울특별시 도봉구 노해로 210","4층 3층 일부 (쌍문동)","2022-01-17","","","72.3","1300","2000","0800","2000","0900","2000","Y","0900","1300","Y","0","","","0","","30","6","239.09","","2022-01-03 15:49:21.0","2022-02-08 17:57:55.0"
"DM211201","동대문구 4호점 우리동네키움센터","1001","우리동네키움센터","11230","동대문구","1003","초등학생","127.05579745080513","37.57485709180429","02540","서울특별시 동대문구 답십리로 141","생활지원센터 B1 우리동네키움센터 (답십리동 래미안 미드카운티)","2022-01-20","","","47","1300","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","20","4","155","","2021-12-28 16:26:12.0","2022-11-01 10:04:35.0"
"JR211201","중랑구3호점 면목4동우리동네키움센터(중랑아동돌봄센터)","1001","우리동네키움센터","11260","중랑구","1003","초등학생","127.0858561064572","37.57252026704589","02255","서울특별시 중랑구 용마산로 209","상가1동 1호 (면목동 쌍용 더 플래티넘 용마산)","2022-01-10","","","27","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","22","4","91.07","","2021-12-28 14:33:10.0","2022-05-10 16:48:55.0"
"NW211202","노원27호점 우리동네키움센터(중계청구3차 아이휴센터)","1001","우리동네키움센터","11350","노원구","1003","초등학생","127.07571","37.6499","01742","서울특별시 노원구 중계로 233","101동 104호 (중계동 청구3차아파트)","2022-01-10","","","25.6","0900","2000","0900","2000","0900","2000","N","","","N","","20000","N","","2500","26","5","84.77","","2021-12-14 12:22:19.0","2022-06-02 18:37:40.0"
"NW211201","노원26호점 우리동네키움센터(중계온마을 아이휴센터)","1001","우리동네키움센터","11350","노원구","1003","초등학생","127.075","37.65971","01699","서울특별시 노원구 한글비석로 371","중계온마을복지센터 가동 1층 (중계동)","2022-02-11","","","38","1300","2000","0900","2000","0900","2000","N","","","N","","20000","N","","2500","30","6","128","","2021-12-14 11:42:59.0","2022-02-26 21:10:53.0"
"NW211101","노원25호점 우리동네키움센터(하계어울림융합형 아이휴센터)","1009","융합형키움센터","11350","노원구","1003","초등학생","127.07229","37.63601","01809","서울특별시 노원구 공릉로62길 18","하계어울림센터 3층 (하계동)","2021-12-06","","","110","0900","2000","0900","2000","0900","2000","Y","0900","1300","N","","20000","N","","2500","40","8","365.68","","2021-11-22 15:32:08.0","2022-03-26 10:27:58.0"
"GJ211101","광진10호점 우리동네키움센터","1001","우리동네키움센터","11215","광진구","1003","초등학생","127.08540416159099","37.56491402988514","04933","서울특별시 광진구 능동로 400","보건복지행정타운 별관 3층(엘리베이터 12호기 이용)","2021-11-15","","","28","1000","1900","0900","1800","1000","1800","N","","","N","","50000","","0","","20","4","98.7","","2021-11-16 14:07:38.0","2022-08-02 16:39:32.0"
"DJ211101","동작11호점 우리동네키움센터(상도4동)","1001","우리동네키움센터","11590","동작구","1003","초등학생","126.93779","37.50061","06961","서울특별시 동작구 성대로29길 53","3층 (상도동)","2021-11-01","","","51","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","169","","2021-11-01 19:05:46.0","2022-06-07 18:43:39.0"
"BP211001","제3호(종로?서대문권) 거점형 우리동네키움센터","1008","거점형키움센터","11110","종로구","1003","초등학생","126.96113","37.57214","03165","서울특별시 종로구 사직로 8","2~6층 (교북동)","2021-10-27","","","","1300","1900","0800","2000","0800","2000","Y","1000","1800","","0","","N","","2500","0","23","","1141011110","2021-10-28 15:56:34.0","2022-10-17 17:45:06.0"
"YF211001","영등포12호점 우리동네키움센터(신길7동 아이랜드)","1001","우리동네키움센터","11560","영등포구","1003","초등학생","126.92156","37.50601","07360","서울특별시 영등포구 여의대방로43길 7-5","1층 (신길동)","2021-10-25","","","26","1100","1900","0900","1800","0900","1800","N","","","","0","","Y","0","","20","4","85","","2021-10-21 15:08:57.0","2022-08-30 16:44:40.0"
"KC211001","금천2호점 우리동네키움센터(시흥2동)","1001","우리동네키움센터","11545","금천구","1003","초등학생","126.91466084553336","37.45031110186032","08656","서울특별시 금천구 금하로 763","벽산중심상가동 302호 (시흥동)","2021-09-14","","","31","1000","1900","0900","1900","0900","1900","N","","","N","","50000","N","","2500","20","4","103.28","","2021-10-12 19:34:00.0","2021-11-19 13:19:12.0"
"SC211002","서초5호점 우리동네키움센터(서초구립 방배동 초등키움센터)","1001","우리동네키움센터","11650","서초구","1003","초등학생","126.99406","37.48536","06672","서울특별시 서초구 서초대로24길 48","2층 (방배동)","2021-11-12","","","33","1000","1900","0900","1800","0900","1800","N","","","Y","0","","Y","0","","20","4","112","","2021-10-07 11:45:15.0","2022-07-22 13:36:21.0"
"SP211001","송파16호점 우리동네키움센터(문정1동 송파키움센터)","1001","우리동네키움센터","11710","송파구","1003","초등학생","127.12788","37.49014","05796","서울특별시 송파구 송이로 198-1","2층 (문정동)","2021-10-01","","","42.35","1000","1900","0900","1800","0900","1800","N","","","N","","50000","N","","2500","30","6","168.36","","2021-10-05 17:10:43.0","2021-12-23 11:38:03.0"
"GD211001","강동6호점 아이플러스키움센터(융합형)","1009","융합형키움센터","11740","강동구","1003","초등학생","127.12715","37.54822","05318","서울특별시 강동구 올림픽로 752","3층 (천호동)","2021-11-01","","","100","0800","2000","0800","2000","0800","2000","Y","0900","1300","N","","50000","N","","2500","40","8","346","","2021-10-05 16:57:00.0","2022-05-07 11:05:36.0"
"SC211001","서초6호점 우리동네키움센터 (서초구립 서초동 초등키움센터)","1001","우리동네키움센터","11650","서초구","1003","초등학생","127.01087","37.48195","06710","서울특별시 서초구 반포대로5길 14","신영빌딩 2층 (서초동)","2021-11-30","","","30","1000","1900","0900","1800","0900","1800","N","","","Y","0","","","0","","20","4","100","","2021-10-05 13:13:48.0","2022-08-31 17:50:32.0"
"SB210903","성북7호점 우리동네키움센터(길음1동)","1001","우리동네키움센터","11290","성북구","1003","초등학생","127.02002","37.61163","02723","서울특별시 성북구 길음로 118","e편한세상 404동 101호 (길음동 길음뉴타운)","2021-10-01","","","35","1000","1900","0900","1900","1000","1900","N","","","N","","50000","N","","2500","20","4","87","","2021-09-24 16:48:21.0","2022-05-19 09:18:06.0"
"SC210901","서초4호점 우리동네키움센터 (서초구립 반포동 초등키움센터)","1001","우리동네키움센터","11650","서초구","1003","초등학생","127.01101","37.50997","06522","서울특별시 서초구 신반포로33길 22","반포종합사회복지관 2층 (잠원동)","2021-11-12","","","40.535","1000","1900","0900","1800","0900","1800","N","","","Y","","","Y","","","25","5","134","","2021-09-23 17:47:36.0","2022-01-14 16:55:15.0"
